"Kod";"Nazwa";"ogółem;ogółem;wartość liczbowa;1995;[%]";"ogółem;ogółem;wartość liczbowa;1996;[%]";"ogółem;ogółem;wartość liczbowa;1997;[%]";"ogółem;ogółem;wartość liczbowa;1998;[%]";"ogółem;ogółem;wartość liczbowa;1999;[%]";"ogółem;ogółem;wartość liczbowa;2000;[%]";"ogółem;ogółem;wartość liczbowa;2001;[%]";"ogółem;ogółem;wartość liczbowa;2002;[%]";"ogółem;ogółem;wartość liczbowa;2003;[%]";"ogółem;ogółem;wartość liczbowa;2004;[%]";"ogółem;ogółem;wartość liczbowa;2005;[%]";"ogółem;ogółem;wartość liczbowa;2006;[%]";"ogółem;ogółem;wartość liczbowa;2007;[%]";"ogółem;ogółem;wartość liczbowa;2008;[%]";"ogółem;ogółem;wartość liczbowa;2009;[%]";"ogółem;ogółem;wartość liczbowa;2010;[%]";"ogółem;ogółem;wartość liczbowa;2011;[%]";"ogółem;ogółem;wartość liczbowa;2012;[%]";"ogółem;ogółem;wartość liczbowa;2013;[%]";"ogółem;ogółem;wartość liczbowa;2014;[%]";"ogółem;ogółem;wartość liczbowa;2015;[%]";"ogółem;ogółem;wartość liczbowa;2016;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;1995;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;1996;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;1997;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;1998;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;1999;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2000;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2001;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2002;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2003;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2004;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2005;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2006;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2007;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2008;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2009;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2010;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2011;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2012;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2013;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2014;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2015;[%]";"w wieku produkcyjnym;ogółem;wartość liczbowa;2016;[%]";
0000000000;"POLSKA";13.3;12.3;11.2;10.6;13.9;16.1;18.2;19.9;19.6;19.0;17.7;13.8;9.6;7.1;8.2;9.6;9.6;10.1;10.3;9.0;7.5;;13.8;12.8;11.6;10.9;14.3;16.5;18.7;20.4;20.1;19.4;18.1;14.1;9.8;7.2;8.3;9.8;9.8;10.3;10.5;9.2;7.7;;
1100000000;"ŁÓDZKIE";13.4;11.9;11.2;10.8;13.5;16.6;19.8;20.3;19.7;18.8;17.4;13.4;9.3;6.7;7.6;9.2;9.3;11.0;11.1;8.8;7.7;;13.9;12.3;11.6;11.2;13.7;17.0;20.1;20.7;20.1;19.1;17.7;13.6;9.4;6.8;7.7;9.4;9.4;11.2;11.3;9.0;7.9;;
1140000000;"MAZOWIECKIE";11.6;10.3;9.4;9.0;11.4;13.1;14.6;17.0;16.3;14.6;14.8;12.2;9.1;6.0;6.0;7.4;7.9;8.0;8.0;7.2;6.4;;11.9;10.5;9.6;9.3;11.6;13.3;15.0;17.4;16.8;15.0;15.2;12.5;9.2;5.9;6.1;7.6;8.1;8.2;8.1;7.3;6.6;;
2120000000;"MAŁOPOLSKIE";10.5;10.5;9.8;8.2;11.7;11.7;13.0;16.2;18.0;17.2;15.2;12.5;8.5;6.2;8.0;9.1;9.4;10.4;10.8;9.1;7.2;;11.2;11.2;10.5;8.8;12.2;12.2;13.6;16.8;18.7;18.0;16.0;13.0;8.7;6.4;8.1;9.3;9.6;10.7;11.1;9.4;7.3;;
2240000000;"ŚLĄSKIE";10.9;11.2;9.9;9.7;12.8;17.5;19.7;20.1;20.3;19.3;19.0;14.1;8.1;6.6;6.7;9.1;9.2;9.4;9.7;8.6;7.2;;11.0;11.3;10.0;9.7;12.8;17.6;19.9;20.3;20.4;19.4;19.0;14.2;8.1;6.6;6.8;9.2;9.2;9.4;9.8;8.8;7.3;;
3060000000;"LUBELSKIE";10.6;10.2;8.9;7.8;12.4;14.1;14.7;16.6;16.0;16.7;14.3;12.7;9.5;8.8;9.7;9.9;10.3;10.5;10.3;9.9;9.3;;11.6;11.1;9.6;8.4;13.2;15.0;15.7;17.6;16.9;17.7;15.0;13.3;10.0;9.3;10.0;10.1;10.6;10.8;10.7;10.1;9.6;;
3180000000;"PODKARPACKIE";14.0;12.8;11.6;10.3;15.2;15.9;18.0;18.2;17.8;16.7;16.6;13.6;9.6;8.2;10.0;11.6;12.4;13.2;14.3;14.0;11.7;;15.3;14.0;12.6;11.0;16.0;16.9;19.1;19.3;18.9;17.6;17.4;14.2;10.1;8.6;10.6;12.2;13.0;13.8;14.9;14.4;11.9;;
3200000000;"PODLASKIE";12.0;9.6;10.4;10.3;12.6;15.2;16.0;16.8;17.9;15.6;14.3;11.4;8.9;6.4;7.1;10.2;9.2;9.3;9.9;9.1;6.9;;12.7;10.2;11.1;10.9;13.2;15.8;16.9;17.6;18.4;16.3;15.0;11.7;9.2;6.6;7.1;10.5;9.4;9.3;10.2;9.4;7.2;;
3260000000;"ŚWIĘTOKRZYSKIE";13.8;11.9;11.3;12.7;14.9;15.7;18.0;18.8;19.1;20.6;19.0;15.6;12.1;8.8;10.9;12.0;12.9;13.1;13.0;11.3;10.1;;15.3;13.3;12.3;13.7;15.7;16.4;18.6;19.2;19.7;21.4;19.8;16.2;12.5;9.1;11.2;12.3;13.3;13.6;13.3;11.8;10.4;;
4080000000;"LUBUSKIE";17.0;15.3;12.3;12.2;17.8;20.7;24.3;26.3;24.6;23.2;19.1;13.9;9.8;6.5;9.6;10.5;9.5;9.0;9.6;8.4;6.3;;17.2;15.4;12.5;12.5;17.9;20.9;24.7;26.8;24.9;23.6;19.4;14.0;9.9;6.6;9.7;10.7;9.7;9.2;9.8;8.4;6.6;;
4300000000;"WIELKOPOLSKIE";12.6;11.8;9.3;8.2;11.6;13.6;17.7;18.2;17.1;18.2;17.2;12.7;8.3;6.1;7.5;8.7;8.7;8.5;8.8;7.7;5.8;;12.9;12.0;9.5;8.3;11.7;13.8;18.0;18.7;17.4;18.4;17.4;12.9;8.4;6.1;7.6;8.9;8.8;8.7;9.0;7.9;6.0;;
4320000000;"ZACHODNIOPOMORSKIE";16.9;16.4;15.9;15.8;19.7;19.1;22.4;26.0;25.6;23.8;22.7;17.1;11.5;9.6;10.3;12.4;11.8;11.0;10.0;8.5;7.5;;17.0;16.6;16.1;16.0;19.9;19.2;22.6;26.0;25.7;24.0;22.9;17.3;11.6;9.6;10.5;12.5;12.1;11.0;10.3;8.6;7.6;;
5020000000;"DOLNOŚLĄSKIE";16.2;13.8;14.1;13.6;16.8;21.3;23.7;26.1;26.0;24.9;22.8;17.1;12.7;9.1;10.1;11.3;10.6;11.1;11.3;9.1;7.0;;16.4;14.0;14.3;13.8;17.1;21.5;23.9;26.2;26.3;25.1;22.9;17.1;12.7;9.2;10.1;11.4;10.7;11.3;11.5;9.3;7.1;;
5160000000;"OPOLSKIE";12.4;11.4;11.4;10.6;14.2;15.4;18.1;19.7;18.4;17.8;17.0;13.2;9.3;6.6;9.8;9.7;9.3;9.5;9.4;7.8;6.5;;12.8;11.8;11.7;10.5;14.3;15.9;18.7;20.3;18.6;18.1;17.3;13.5;9.5;6.5;10.0;9.9;9.6;9.7;9.7;8.0;6.7;;
6040000000;"KUJAWSKO-POMORSKIE";16.1;15.4;12.9;11.9;14.8;17.8;20.0;21.5;21.9;22.1;19.8;16.1;11.3;9.1;10.4;10.6;11.0;11.8;12.4;10.6;8.0;;16.3;15.6;13.2;12.0;15.0;18.0;20.3;21.9;22.1;22.4;20.1;16.3;11.4;9.2;10.5;10.7;11.2;12.0;12.6;10.8;8.1;;
6220000000;"POMORSKIE";15.9;14.1;11.9;11.3;14.0;16.7;18.5;21.5;20.5;20.2;18.9;13.5;9.5;5.5;6.4;9.3;8.5;9.6;10.1;8.6;6.6;;16.2;14.3;12.0;11.5;14.2;16.9;18.7;21.8;20.9;20.3;19.1;13.6;9.5;5.5;6.5;9.4;8.6;9.7;10.2;8.9;6.8;;
6280000000;"WARMIŃSKO-MAZURSKIE";21.2;21.1;19.5;16.3;22.0;23.6;23.5;25.9;24.0;22.3;20.4;15.9;10.5;7.5;8.5;9.7;9.7;11.1;11.4;9.8;9.4;;21.7;21.3;19.8;16.5;22.0;23.7;23.8;26.2;24.2;22.5;20.6;16.1;10.6;7.4;8.6;9.8;9.7;11.1;11.4;10.0;9.7;;
